                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.85977,                0.64364,                 1.0391,                0.86306,                0.82776,                0.88365,                0.64559,                 1.0613,                0.74818,                 1.1884,              0.0003664,              0.0003664,              0.0003664
                     67,                0.84495,                0.65978,                 1.0336,                 0.8682,                0.78567,                0.87716,                0.63471,                 1.0546,                0.78774,                 1.1814,              0.0003565,              0.0003565,              0.0003565
                     68,                0.85003,                0.65068,                 1.0387,                0.83061,                0.80986,                 0.8634,                0.62769,                 1.0427,                0.79847,                 1.1825,              0.0003466,              0.0003466,              0.0003466
                     69,                0.84538,                0.64053,                 1.0384,                0.85498,                0.81557,                0.87324,                0.63874,                 1.0333,                0.75844,                 1.1726,              0.0003367,              0.0003367,              0.0003367
                     70,                0.83056,                0.63483,                 1.0329,                0.86742,                0.78402,                0.87325,                0.63592,                 1.0518,                0.76443,                 1.1904,              0.0003268,              0.0003268,              0.0003268
                     71,                0.82957,                0.63811,                 1.0204,                0.84401,                0.82185,                0.87793,                0.64517,                 1.0512,                 0.7605,                 1.1876,              0.0003169,              0.0003169,              0.0003169
                     72,                0.83304,                0.62641,                 1.0319,                0.86455,                0.80361,                0.87883,                0.64029,                 1.0671,                0.74135,                 1.1933,               0.000307,               0.000307,               0.000307
                     73,                0.81127,                0.61263,                 1.0142,                0.86288,                0.80653,                0.87141,                0.63985,                 1.0308,                0.77003,                 1.1652,              0.0002971,              0.0002971,              0.0002971
                     74,                0.82705,                 0.6115,                   1.03,                0.85482,                0.81937,                0.87934,                0.64695,                 1.0382,                 0.7233,                 1.1843,              0.0002872,              0.0002872,              0.0002872
                     75,                0.80461,                0.59908,                 1.0152,                0.86931,                0.80052,                0.88079,                0.65149,                 1.0361,                0.74532,                 1.1678,              0.0002773,              0.0002773,              0.0002773
                     76,                0.79254,                0.58966,                 1.0044,                0.86025,                0.80677,                0.87412,                0.64192,                 1.0381,                0.75632,                 1.1701,              0.0002674,              0.0002674,              0.0002674
                     77,                0.79484,                0.59724,                 1.0074,                0.85236,                0.83424,                 0.8778,                 0.6449,                 1.0451,                0.76045,                 1.1821,              0.0002575,              0.0002575,              0.0002575
                     78,                0.79382,                0.58899,                 1.0027,                0.85435,                0.81416,                0.88334,                0.65251,                 1.0294,                0.73315,                 1.1589,              0.0002476,              0.0002476,              0.0002476
                     79,                0.78191,                0.57842,                 1.0071,                0.85628,                0.82149,                0.87815,                0.65132,                 1.0152,                0.73197,                 1.1538,              0.0002377,              0.0002377,              0.0002377
                     80,                0.78446,                0.57703,                 1.0088,                0.83414,                0.83042,                0.87672,                0.65102,                 1.0232,                0.73904,                 1.1653,              0.0002278,              0.0002278,              0.0002278
                     81,                0.76226,                0.57467,                0.99965,                0.85535,                 0.8229,                 0.8842,                 0.6597,                 1.0265,                0.73763,                 1.1651,              0.0002179,              0.0002179,              0.0002179
                     82,                0.77444,                0.56467,                0.99798,                 0.8652,                0.81962,                0.88492,                0.65563,                 1.0146,                0.72595,                 1.1487,               0.000208,               0.000208,               0.000208
                     83,                0.77049,                0.56683,                 1.0059,                0.86701,                0.80833,                0.88311,                0.65808,                  1.019,                0.74112,                 1.1593,              0.0001981,              0.0001981,              0.0001981
                     84,                0.76353,                0.56378,                0.99789,                0.85076,                0.82422,                0.88373,                0.65638,                 1.0253,                0.73992,                 1.1598,              0.0001882,              0.0001882,              0.0001882
                     85,                0.76307,                0.56347,                0.99422,                0.87286,                0.81388,                0.88419,                0.65906,                 1.0094,                0.73337,                 1.1488,              0.0001783,              0.0001783,              0.0001783
                     86,                0.75774,                0.55314,                0.99568,                0.86745,                0.80805,                0.88201,                0.65911,                 1.0179,                0.73105,                 1.1604,              0.0001684,              0.0001684,              0.0001684
                     87,                0.75382,                 0.5422,                 0.9925,                0.84743,                0.81726,                0.88257,                0.66005,                 1.0175,                0.73081,                 1.1568,              0.0001585,              0.0001585,              0.0001585
                     88,                0.74271,                0.53536,                0.98606,                0.87238,                0.81637,                0.88616,                0.66358,                 1.0025,                0.71175,                 1.1539,              0.0001486,              0.0001486,              0.0001486
                     89,                0.75503,                0.53901,                0.99166,                0.88268,                0.81304,                0.88388,                0.66256,                 1.0092,                0.70725,                 1.1583,              0.0001387,              0.0001387,              0.0001387
                     90,                0.73879,                0.54518,                 0.9949,                0.88222,                0.79768,                0.88897,                0.66953,                0.99742,                0.71408,                 1.1534,              0.0001288,              0.0001288,              0.0001288
                     91,                0.65918,                0.40974,                0.93615,                0.84767,                0.82051,                0.87828,                0.65967,                  1.007,                0.73581,                 1.1552,              0.0001189,              0.0001189,              0.0001189
                     92,                0.65083,                 0.3975,                0.93653,                0.87774,                0.80115,                0.88471,                0.66276,                  1.006,                0.71089,                 1.1611,               0.000109,               0.000109,               0.000109
                     93,                0.63751,                0.37703,                0.92143,                0.87168,                0.81879,                0.89072,                0.66316,                 1.0102,                0.71327,                 1.1587,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                0.62867,                0.37284,                0.92118,                0.85455,                0.84164,                0.88885,                0.66616,                 1.0062,                0.71391,                 1.1612,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                0.62196,                0.37147,                0.92104,                0.86859,                0.83095,                0.89146,                0.66622,                 1.0039,                 0.7102,                 1.1573,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                0.61843,                0.36408,                0.91733,                0.87786,                0.81964,                0.89101,                0.67087,                0.99612,                0.70929,                 1.1537,               6.94e-05,               6.94e-05,               6.94e-05
                     97,                0.60219,                0.35254,                0.91677,                0.87389,                0.82858,                0.89162,                0.67016,                0.99489,                0.70871,                 1.1524,               5.95e-05,               5.95e-05,               5.95e-05
                     98,                0.60284,                 0.3599,                0.90879,                0.87489,                0.82447,                0.88775,                0.66856,                0.99636,                0.70871,                 1.1498,               4.96e-05,               4.96e-05,               4.96e-05
                     99,                0.60335,                0.34965,                 0.9132,                0.87085,                0.83353,                0.89092,                0.67017,                 1.0034,                0.70927,                 1.1606,               3.97e-05,               3.97e-05,               3.97e-05
                    100,                0.60045,                0.34724,                0.90514,                0.87373,                0.83559,                0.89041,                0.67088,                 1.0021,                0.70628,                 1.1631,               2.98e-05,               2.98e-05,               2.98e-05
